,text,location,entities
20,@AvecRoussel @Fabien_Roussel @Radicaux_Gauche @Gauche_RS @mouvement_NGS @GSocialiste @MRC_France @PCF et restes y,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AvecRoussel', 'name': 'Avec Fabien Roussel', 'id': 1274990428555825152, 'id_str': '1274990428555825152', 'indices': [0, 12]}, {'screen_name': 'Fabien_Roussel', 'name': 'Fabien Roussel', 'id': 1324449588, 'id_str': '1324449588', 'indices': [13, 28]}, {'screen_name': 'Radicaux_Gauche', 'name': 'Les Radicaux de Gauche - LRDG', 'id': 1490774414635544577, 'id_str': '1490774414635544577', 'indices': [29, 45]}, {'screen_name': 'Gauche_RS', 'name': 'Gauche Républicaine & Socialiste', 'id': 819682788, 'id_str': '819682788', 'indices': [46, 56]}, {'screen_name': 'mouvement_NGS', 'name': 'Nouvelle Gauche Socialiste', 'id': 1502692242909184001, 'id_str': '1502692242909184001', 'indices': [57, 71]}, {'screen_name': 'GSocialiste', 'name': 'Gauche Socialiste', 'id': 316276940, 'id_str': '316276940', 'indices': [72, 84]}, {'screen_name': 'MRC_France', 'name': 'MRC', 'id': 574650777, 'id_str': '574650777', 'indices': [85, 96]}, {'screen_name': 'PCF', 'name': 'PCF', 'id': 96090970, 'id_str': '96090970', 'indices': [97, 101]}], 'urls': []}"
21,Fétide Mélenchon et la famille Adams ! https://t.co/WZGOXF8mj0,Ile de La Réunion,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1519010679814074369, 'id_str': '1519010679814074369', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/FRScKkxXsAE2W1O.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FRScKkxXsAE2W1O.jpg', 'url': 'https://t.co/WZGOXF8mj0', 'display_url': 'pic.twitter.com/WZGOXF8mj0', 'expanded_url': 'https://twitter.com/philrun974/status/1519011015312224259/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 678, 'resize': 'fit'}, 'small': {'w': 680, 'h': 384, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 723, 'resize': 'fit'}}}]}"
22,"Mdrr Stanislas Rigault est pris en tenaille sur BFMTV. La hype Zemmour est finie, retour à la réalité. #Calvi3D",#FREEMARVEL ,"{'hashtags': [{'text': 'Calvi3D', 'indices': [103, 111]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
23,@AldoSterone111 Attend j'essaye aussi : macron a frauder aux élections et il est marié à jean michel trogneux. Ho punaise ça défoule 😂😂,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AldoSterone111', 'name': 'Aldo Sterone', 'id': 320275643, 'id_str': '320275643', 'indices': [0, 15]}], 'urls': []}"
24,@AmandaBgn @TPMP @Cyrilhanouna Ah il fait moins « moquette » que Macron 🤣🤣🤣,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmandaBgn', 'name': 'AmandaAlexandraBgn ✡️✝️🕎☪️🏳️\u200d🌈', 'id': 1489231627133894664, 'id_str': '1489231627133894664', 'indices': [0, 10]}, {'screen_name': 'TPMP', 'name': 'TPMP', 'id': 832766641, 'id_str': '832766641', 'indices': [11, 16]}, {'screen_name': 'Cyrilhanouna', 'name': 'Cyril Hanouna', 'id': 378632690, 'id_str': '378632690', 'indices': [17, 30]}], 'urls': []}"
25,@CNEWS @morandini_live Bouffon !!! Fallait pas appeler à voter pour lui alors ! Vous prenez les français pour des c… https://t.co/QXnRty0G6p,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CNEWS', 'name': 'CNEWS', 'id': 18396319, 'id_str': '18396319', 'indices': [0, 6]}, {'screen_name': 'morandini_live', 'name': 'Morandini Live', 'id': 3915556043, 'id_str': '3915556043', 'indices': [7, 22]}], 'urls': [{'url': 'https://t.co/QXnRty0G6p', 'expanded_url': 'https://twitter.com/i/web/status/1519011007028465667', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
26,le vinyle de olivia rodrigo il fonctionne trop bien je suis trop heureuse merci pass culture merci macron,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
27,@AdrienThrd @yjadot @EELV Une alliance n’est possible que si les personnes ont les mêmes valeurs. Les gens de gauch… https://t.co/ZMXwcI4Bfu,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AdrienThrd', 'name': 'Adrien', 'id': 1214841345224925185, 'id_str': '1214841345224925185', 'indices': [0, 11]}, {'screen_name': 'yjadot', 'name': 'Yannick Jadot', 'id': 117761523, 'id_str': '117761523', 'indices': [12, 19]}, {'screen_name': 'EELV', 'name': 'EELV', 'id': 17710206, 'id_str': '17710206', 'indices': [20, 25]}], 'urls': [{'url': 'https://t.co/ZMXwcI4Bfu', 'expanded_url': 'https://twitter.com/i/web/status/1519010998140690437', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
28,"@2022Elections @France202222 @LeMeneec Aie. Pierre Jouvet. Aux dernières élections législatives, circonscription vo… https://t.co/qIPgsQyJhK",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '2022Elections', 'name': 'Élections 2022 🗳', 'id': 1373742902984212489, 'id_str': '1373742902984212489', 'indices': [0, 14]}, {'screen_name': 'France202222', 'name': 'Citoyen', 'id': 1492174974840459273, 'id_str': '1492174974840459273', 'indices': [15, 28]}, {'screen_name': 'LeMeneec', 'name': 'Thibaud Le Meneec', 'id': 117205564, 'id_str': '117205564', 'indices': [29, 38]}], 'urls': [{'url': 'https://t.co/qIPgsQyJhK', 'expanded_url': 'https://twitter.com/i/web/status/1519010997595480065', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
29,@Mediavenir Avec macron ça va pas tarder à arriver en France,au nord ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mediavenir', 'name': 'Mediavenir', 'id': 1214315619031478272, 'id_str': '1214315619031478272', 'indices': [0, 11]}], 'urls': []}"
30,"@Maiannah Pour info, puisque vous êtes trop stupide pour vérifier vous même, la 4eme circonscription de Marseille,… https://t.co/fAcnWVbPhD",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Maiannah', 'name': '\U0001f9ad🌍 🌻Maiannah 🌻🌏🐬', 'id': 2404990825, 'id_str': '2404990825', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/fAcnWVbPhD', 'expanded_url': 'https://twitter.com/i/web/status/1519010992138723328', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
31,"Ca y est Macron est élu. Le gas oil remonte, le variant XE arrive, la 3ème guerre mondiale est imminente. 
Heureuse… https://t.co/ep0MHO4DUG",France,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ep0MHO4DUG', 'expanded_url': 'https://twitter.com/i/web/status/1519010991631220736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
32,"@dObernai tu me fais rire, là... Si Macron lui propose un ministère, il fonce ; c'est un crevard.","Lorraine, France","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dObernai', 'name': 'Sophie 🐈\u200d⬛🐈🐈\u200d⬛', 'id': 1137642103, 'id_str': '1137642103', 'indices': [0, 9]}], 'urls': []}"
33,"@Hiboutrotteur @shutgcri @TV5MONDEINFO @Fabien_Roussel Nan nan aux municipales on élit des listes hein, et les list… https://t.co/4WP2yWE6rU",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hiboutrotteur', 'name': 'LesPiedsDansLplat', 'id': 1348263783433711618, 'id_str': '1348263783433711618', 'indices': [0, 14]}, {'screen_name': 'shutgcri', 'name': 'Shaff0506', 'id': 838911946049060864, 'id_str': '838911946049060864', 'indices': [15, 24]}, {'screen_name': 'TV5MONDEINFO', 'name': 'TV5MONDE Info', 'id': 105103721, 'id_str': '105103721', 'indices': [25, 38]}, {'screen_name': 'Fabien_Roussel', 'name': 'Fabien Roussel', 'id': 1324449588, 'id_str': '1324449588', 'indices': [39, 54]}], 'urls': [{'url': 'https://t.co/4WP2yWE6rU', 'expanded_url': 'https://twitter.com/i/web/status/1519010982617563137', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
